pid,uniqid
uid_000001,20220202093016589040
uid_000002,20220202093016589091
uid_000003,20220202093016589104
uid_000004,20220202093016589112
uid_000005,20220202093016589120
uid_000006,20220202093016589127
uid_000007,20220202093016589134
uid_000008,20220202093016589142
uid_000009,20220202093016589149
uid_000010,20220202093016589156
uid_000011,20220202093016589163
uid_000012,20220202093016589170
uid_000013,20220202093016589176
uid_000014,20220202093016589183
uid_000015,20220202093016589190
uid_000016,20220202093016589197
uid_000017,20220202093016589204
uid_000018,20220202093016589211
uid_000019,20220202093016589218
uid_000020,20220202093016589224
