# label: %name%
# style: shape=%shape%;fillColor=%fill%;strokeColor=%stroke%;
# namespace: csvimport-
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasvalue", "label": "sio:has value" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "foaf_type", "label": "foaf:type" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasendtime", "label": "sio:has end time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasrole", "label": "sio:has role" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasinput", "label": "sio:has input" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasoutput", "label": "sio:has output" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasstarttime", "label": "sio:has start time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_isrealizedin", "label": "sio:is realized in" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_denotes", "label": "sio:denotes" }
id,name,fill,stroke,shape,sio_hasvalue,foaf_type,sio_hasendtime,sio_hasrole,sio_hasinput,sio_hasoutput,sio_hasstarttime,sio_isrealizedin,sio_denotes
http://example.org/data/uid_000002_20220315095719276453_Disability_Output,Output type: Disability score,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA","NA"
12,12,#DAE8FC,#000000,ellipse,"http://example.org/data/uid_000002_20220315095719276453_Disability_Output","NA","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_Disability_Startdate,Startdate: 2019-11-12,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA"
2019-11-12,2019-11-12,#DAE8FC,#000000,ellipse,"http://example.org/data/uid_000002_20220315095719276453_Disability_Enddate,http://example.org/data/uid_000002_20220315095719276453_Disability_Startdate","NA","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_Disability_Process,Process: Edmonton Symptom Assessment System,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Role","NA"
http://purl.obolibrary.org/obo/NCIT_C20993,obo:Research or Clinical Assessment Tool,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_Disability_Enddate,Enddate: 2019-11-12,#FFE6CC,#000000,rhombus,"NA","NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_Disability_Input,Input type: Questionnaire,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Process","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/NCIT_C17048,obo:Questionnaire,#d5e8d4,#000000,rounded,"NA","http://example.org/data/uid_000002_20220315095719276453_Disability_Input","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000002_20220315095719276453_Entity,uid_000002_20220315095719276453_Entity,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
