# label: %name%
# style: shape=%shape%;fillColor=%fill%;strokeColor=%stroke%;
# namespace: csvimport-
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "foaf_type", "label": "foaf:type" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasunit", "label": "sio:has unit" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasvalue", "label": "sio:has value" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_conformsto", "label": "sio:conforms to" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasrole", "label": "sio:has role" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_iscomponentpartof", "label": "sio:is component part of" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "rdfs_comment", "label": "rdfs:comment" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasendtime", "label": "sio:has end time" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasoutput", "label": "sio:has output" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasinput", "label": "sio:has input" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasagent", "label": "sio:has agent" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_refersto", "label": "sio:refers to" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_denotes", "label": "sio:denotes" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasfrequency", "label": "sio:has frequency" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_isrealizedin", "label": "sio:is realized in" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasstarttime", "label": "sio:has start time" }
id,name,fill,stroke,shape,foaf_type,sio_hasunit,sio_hasvalue,sio_conformsto,sio_hasrole,sio_iscomponentpartof,rdfs_comment,sio_hasendtime,sio_hasoutput,sio_hasinput,sio_hasagent,sio_refersto,sio_denotes,sio_hasfrequency,sio_isrealizedin,sio_hasstarttime
http://example.org/data/id_000007_20220315095719196666_Administration_input,Route of administration: Oral Route of Administration,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA","NA","http://example.org/data/id_000007_20220315095719196666_Drug_intake_process","NA","NA","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/NCIT_C38288,obo:Oral Route of Administration,#d5e8d4,#000000,rounded,"http://example.org/data/id_000007_20220315095719196666_Administration_input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/id_000007_20220315095719196666_Dose,Dose,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","http://example.org/data/id_000007_20220315095719196666_Prescription_output","NA","NA","NA","NA"
http://example.org/data/id_000007_20220315095719196666_Unit,Unit: miligram,#FFE6CC,#000000,rhombus,"NA","http://example.org/data/id_000007_20220315095719196666_Dose","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/id_000007_20220315095719196666_ID,id_000007_20220315095719196666_ID,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
id_000007,id_000007,#DAE8FC,#000000,ellipse,"NA","NA","http://example.org/data/id_000007_20220315095719196666_ID","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/id_000007_20220315095719196666_Treatment_enddate,Enddate: 2021-08-08,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","http://example.org/data/id_000007_20220315095719196666_Drug_intake_process","NA","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000032,sio:end date,#d5e8d4,#000000,rounded,"http://example.org/data/id_000007_20220315095719196666_Treatment_enddate","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/id_000007_20220315095719196666_Drug_intake_process,Process: Drug intake,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","http://example.org/data/id_000007_20220315095719196666_Treatment_role","NA"
http://example.org/data/id_000007_20220315095719196666_Prescription_output,Prescription,#FFE6CC,#000000,rhombus,"NA","NA","NA","http://example.org/data/id_000007_20220315095719196666_Drug_intake_process","NA","NA","NA","NA","http://example.org/data/id_000007_20220315095719196666_Drug_prescription_process","NA","NA","NA","NA","NA","NA","NA"
