# label: %name%
# style: shape=%shape%;fillColor=%fill%;strokeColor=%stroke%;
# namespace: csvimport-
# width: auto
# height: auto
# padding: 15
# ignore: id,shape,fill,stroke,refs
# nodespacing: 40
# levelspacing: 100
# edgespacing: 40
# layout: auto
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "rdf_type", "label": "rdf:type" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasvalue", "label": "sio:has value" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasoutput", "label": "sio:has output" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_has_attribute", "label": "sio:has_attribute" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_isrealizedin", "label": "sio:is realized in" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_hasrole", "label": "sio:has role" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_refersto", "label": "sio:refers to" }
# connect: {"to": "id", "invert": true, "style":"curved=0;endArrow=blockThin;endFill=1;", "from": "sio_denotes", "label": "sio:denotes" }
id,name,fill,stroke,shape,rdf_type,sio_hasvalue,sio_hasoutput,sio_has_attribute,sio_isrealizedin,sio_hasrole,sio_refersto,sio_denotes
http://example.org/data/uid_000001_20220315095719275176_Genetic_Role,Role: Genetic diagnosis patient,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","http://example.org/data/uid_000001_Entity","NA","http://example.org/data/uid_000001_ID"
http://example.org/data/uid_000001_20220315095719275176_HGNC_Output,Output type: HGNC genome sequence variant,#FFE6CC,#000000,rhombus,"NA","NA","http://example.org/data/uid_000001_20220315095719275176_HGNC_Process","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000015,sio:information content entity,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_HGNC_Output,http://example.org/data/uid_000001_20220315095719275176_HGVS_Output,http://example.org/data/uid_000001_20220315095719275176_OMIM_Output","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000001_20220315095719275176_HGVS_Process,Process: HGVS genetic testing,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","http://example.org/data/uid_000001_20220315095719275176_Genetic_Role","NA","NA","NA"
http://purl.obolibrary.org/obo/NCIT_C15709,obo:Genetic Testing,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_HGNC_Process,http://example.org/data/uid_000001_20220315095719275176_HGVS_Process,http://example.org/data/uid_000001_20220315095719275176_OMIM_Process","NA","NA","NA","NA","NA","NA","NA"
https://www.omim.org/entry/192977,Attribute type: https://www.omim.org/entry/192977,#FFE6CC,#000000,rhombus,"NA","NA","NA","http://example.org/data/uid_000001_Entity","NA","NA","http://example.org/data/uid_000001_20220315095719275176_OMIM_Output","NA"
http://example.org/data/uid_000001_20220315095719275176_OMIM_Output,Output type: OMIM genome sequence variant,#FFE6CC,#000000,rhombus,"NA","NA","http://example.org/data/uid_000001_20220315095719275176_OMIM_Process","NA","NA","NA","NA","NA"
https://www.omim.org/entry/192977,https://www.omim.org/entry/192977,#DAE8FC,#000000,ellipse,"NA","http://example.org/data/uid_000001_20220315095719275176_OMIM_Output","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000001_20220315095719275176_HGNC_Process,Process: HGNC genetic testing,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","http://example.org/data/uid_000001_20220315095719275176_Genetic_Role","NA","NA","NA"
http://semanticscience.org/resource/SIO_000006,sio:process,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_HGNC_Process,http://example.org/data/uid_000001_20220315095719275176_HGVS_Process,http://example.org/data/uid_000001_20220315095719275176_OMIM_Process","NA","NA","NA","NA","NA","NA","NA"
http://edamontology.org/data_1153,edam:OMIM ID,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_OMIM_Output","NA","NA","NA","NA","NA","NA","NA"
https://www.ncbi.nlm.nih.gov/clinvar/variation/597052/,Attribute type: NM_004006.3:c.4375C>T,#FFE6CC,#000000,rhombus,"NA","NA","NA","http://example.org/data/uid_000001_Entity","NA","NA","http://example.org/data/uid_000001_20220315095719275176_HGVS_Output","NA"
http://example.org/data/uid_000001_20220315095719275176_OMIM_Process,Process: OMIM genetic testing,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","http://example.org/data/uid_000001_20220315095719275176_Genetic_Role","NA","NA","NA"
http://example.org/data/uid_000001_Entity,uid_000001_Entity,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA"
https://identifiers.org/HGNC:12698,Attribute type: https://identifiers.org/HGNC:12698,#FFE6CC,#000000,rhombus,"NA","NA","NA","http://example.org/data/uid_000001_Entity","NA","NA","http://example.org/data/uid_000001_20220315095719275176_HGNC_Output","NA"
http://semanticscience.org/resource/SIO_000614,sio:attribute,#d5e8d4,#000000,rounded,"https://identifiers.org/HGNC:12698,https://www.ncbi.nlm.nih.gov/clinvar/variation/597052/,https://www.omim.org/entry/192977","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000001_20220315095719275176_HGVS_Output,Output type: HGVS measurement value,#FFE6CC,#000000,rhombus,"NA","NA","http://example.org/data/uid_000001_20220315095719275176_HGVS_Process","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_001388,sio:sequence variation notation,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_HGVS_Output","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000016,sio:role,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_Genetic_Role","NA","NA","NA","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/OBI_0000093,obo:patient role,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_Genetic_Role","NA","NA","NA","NA","NA","NA","NA"
http://example.org/data/uid_000001_ID,uid_000001_ID,#FFE6CC,#000000,rhombus,"NA","NA","NA","NA","NA","NA","NA","NA"
uid_000001,uid_000001,#DAE8FC,#000000,ellipse,"NA","http://example.org/data/uid_000001_ID","NA","NA","NA","NA","NA","NA"
http://purl.obolibrary.org/obo/NCIT_C17938,obo:Genetic,#d5e8d4,#000000,rounded,"https://identifiers.org/HGNC:12698,https://www.ncbi.nlm.nih.gov/clinvar/variation/597052/,https://www.omim.org/entry/192977","NA","NA","NA","NA","NA","NA","NA"
https://identifiers.org/HGNC:12698,https://identifiers.org/HGNC:12698,#DAE8FC,#000000,ellipse,"NA","http://example.org/data/uid_000001_20220315095719275176_HGNC_Output","NA","NA","NA","NA","NA","NA"
NM_004006.3:c.4375C>T,NM_004006.3:c.4375C>T,#DAE8FC,#000000,ellipse,"NA","http://example.org/data/uid_000001_20220315095719275176_HGVS_Output","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000115,sio:identifier,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_ID","NA","NA","NA","NA","NA","NA","NA"
http://semanticscience.org/resource/SIO_000498,sio:person,#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_Entity","NA","NA","NA","NA","NA","NA","NA"
http://edamontology.org/data_2298,edam:Gene ID (HGNC),#d5e8d4,#000000,rounded,"http://example.org/data/uid_000001_20220315095719275176_HGNC_Output","NA","NA","NA","NA","NA","NA","NA"
